Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
2A|1|36.767719|-98.101431|356.5|1|2016-04-12T18:47:58|2016-05-12T15:01:52
2A|10|36.753308|-98.091932|350.9|10|2016-04-12T18:34:21|2016-05-11T15:04:57
2A|100|36.764281|-98.05606|354.0|100|2016-04-11T18:57:33|2016-05-10T16:08:52
2A|1000|36.781799|-97.768087|331.5|1000|2016-04-12T13:28:43|2016-05-11T22:07:18
2A|1001|36.778213|-97.768147|327.4|1001|2016-04-12T13:23:04|2016-05-11T22:11:41
2A|1002|36.774057|-97.768148|326.0|1002|2016-04-12T13:16:02|2016-05-11T22:15:03
2A|1003|36.98511|-97.750484|361.0|1003|2016-04-11T21:35:02|2016-05-11T17:41:40
2A|1004|36.981508|-97.750588|366.0|1004|2016-04-11T21:30:50|2016-05-09T14:26:35
2A|1005|36.977899|-97.750408|368.0|1005|2016-04-11T21:27:01|2016-05-11T17:33:04
2A|1006|36.974285|-97.750433|370.0|1006|2016-04-11T21:20:04|2016-05-11T17:29:34
2A|1007|36.970565|-97.750402|366.0|1007|2016-04-11T21:14:21|2016-05-11T17:24:10
2A|1008|36.966979|-97.75043|366.0|1008|2016-04-11T20:51:19|2016-05-11T17:21:31
2A|1009|36.963338|-97.750439|365.0|1009|2016-04-11T20:45:30|2016-05-11T17:17:47
2A|101|36.760402|-98.05589|355.6|101|2016-04-11T18:54:34|2016-05-10T16:05:11
2A|1010|36.959708|-97.750485|366.0|1010|2016-04-11T20:41:27|2016-05-11T17:14:29
2A|1011|36.956036|-97.750452|367.0|1011|2016-04-11T20:35:54|2016-05-11T17:10:30
2A|1012|36.952493|-97.75067|364.0|1012|2016-04-11T20:31:48|2016-05-11T17:08:01
2A|1013|36.948845|-97.750474|362.0|1013|2016-04-11T20:25:25|2016-05-11T17:05:28
2A|1014|36.945218|-97.75048|354.0|1014|2016-04-11T20:21:17|2016-05-11T17:02:37
2A|1015|36.941584|-97.75004|352.0|1015|2016-04-11T20:17:00|2016-05-11T16:59:28
2A|1016|36.938009|-97.750035|351.0|1016|2016-04-11T20:12:10|2016-05-11T16:56:15
2A|1017|36.93438|-97.750076|353.0|1017|2016-04-11T20:07:25|2016-05-11T16:48:47
2A|1018|36.930762|-97.750211|351.0|1018|2016-04-11T20:00:22|2016-05-11T16:44:20
2A|1019|36.926969|-97.750049|351.0|1019|2016-04-11T19:33:53|2016-05-11T16:39:35
2A|102|36.756879|-98.056032|353.5|102|2016-04-11T18:51:59|2016-05-10T16:00:44
2A|1020|36.923262|-97.750056|352.0|1020|2016-04-11T19:15:56|2016-05-11T16:35:34
2A|1021|36.919646|-97.750068|345.0|1021|2016-04-11T19:05:12|2016-05-11T16:32:07
2A|1022|36.916017|-97.750017|347.0|1022|2016-04-11T19:00:02|2016-05-11T16:28:44
2A|1023|36.912376|-97.749991|348.0|1023|2016-04-11T18:55:16|2016-05-11T16:25:51
2A|1024|36.908749|-97.750041|347.0|1024|2016-04-11T18:48:57|2016-05-11T16:21:53
2A|1025|36.905131|-97.749963|344.0|1025|2016-04-11T18:42:13|2016-05-11T16:18:25
2A|1026|36.901544|-97.75002|341.0|1026|2016-04-11T18:22:14|2016-05-11T16:09:53
2A|1027|36.897951|-97.749989|346.0|1027|2016-04-11T18:16:57|2016-05-11T16:07:31
2A|1028|36.894271|-97.750183|347.0|1028|2016-04-11T17:52:07|2016-05-11T16:04:04
2A|1029|36.890577|-97.750057|344.0|1029|2016-04-11T17:47:46|2016-05-11T15:58:13
2A|103|36.753028|-98.055832|350.0|103|2016-04-11T18:49:16|2016-05-10T15:57:36
2A|1030|36.886996|-97.750116|343.0|1030|2016-04-11T17:42:37|2016-05-11T15:53:58
2A|1031|36.883391|-97.750134|343.0|1031|2016-04-11T17:37:48|2016-05-11T15:48:12
2A|1032|36.87971|-97.750137|340.0|1032|2016-04-11T17:32:56|2016-05-11T15:42:05
2A|1033|36.876078|-97.75013|332.0|1033|2016-04-11T17:27:25|2016-05-11T15:37:24
2A|1034|36.872437|-97.750141|329.1|1034|2016-04-11T17:18:23|2016-05-11T15:34:03
2A|1035|36.868826|-97.750166|344.7|1035|2016-04-11T17:14:19|2016-05-11T15:28:48
2A|1036|36.865168|-97.750167|345.2|1036|2016-04-11T17:09:47|2016-05-11T15:25:25
2A|1037|36.861521|-97.75023|343.6|1037|2016-04-11T16:54:28|2016-05-11T15:22:35
2A|1038|36.857912|-97.750294|342.7|1038|2016-04-11T16:49:43|2016-05-11T15:19:07
2A|1039|36.854341|-97.750319|337.0|1039|2016-04-11T16:45:45|2016-05-11T15:14:37
2A|104|36.749424|-98.055956|346.0|104|2016-04-11T18:46:26|2016-05-10T15:54:00
2A|1040|36.850651|-97.750288|341.9|1040|2016-04-11T16:41:26|2016-05-11T15:10:49
2A|1041|36.846929|-97.750264|338.8|1041|2016-04-11T16:34:12|2016-05-11T14:55:34
2A|1042|36.843397|-97.750247|339.9|1042|2016-04-11T16:27:58|2016-05-11T14:44:21
2A|1043|36.839901|-97.750246|344.1|1043|2016-04-11T16:24:10|2016-05-11T14:37:26
2A|1044|36.836147|-97.750249|343.7|1044|2016-04-11T16:17:58|2016-05-11T14:34:26
2A|1045|36.832536|-97.750244|343.2|1045|2016-04-11T16:12:59|2016-05-11T14:31:09
2A|1046|36.828888|-97.750248|339.8|1046|2016-04-11T16:07:03|2016-05-11T14:26:47
2A|1047|36.825327|-97.750232|340.5|1047|2016-04-11T16:01:43|2016-05-11T14:21:41
2A|1048|36.821614|-97.750227|338.6|1048|2016-04-11T15:57:14|2016-05-11T14:17:54
2A|1049|36.817986|-97.750219|336.7|1049|2016-04-11T15:50:26|2016-05-11T14:12:44
2A|105|36.745759|-98.055893|347.6|105|2016-04-11T18:43:28|2016-05-10T15:50:09
2A|1050|36.814376|-97.750213|335.8|1050|2016-04-11T15:41:55|2016-05-11T14:06:00
2A|1051|36.810869|-97.750171|334.3|1051|2016-04-11T15:17:22|2016-05-11T14:01:39
2A|1052|36.807206|-97.750101|335.9|1052|2016-04-11T15:10:48|2016-05-11T13:56:42
2A|1053|36.80356|-97.750096|334.7|1053|2016-04-11T14:59:02|2016-05-11T13:51:03
2A|1054|36.985246|-97.867746|358.0|1054|2016-04-13T13:11:47|2016-05-12T18:33:12
2A|1055|36.985226|-97.862808|360.9|1055|2016-04-13T13:14:26|2016-05-12T18:30:34
2A|1056|36.985214|-97.853991|357.6|1056|2016-04-13T13:17:08|2016-05-12T18:27:19
2A|1057|36.985205|-97.849666|361.3|1057|2016-04-13T13:18:35|2016-05-12T18:23:20
2A|1058|36.985224|-97.844625|363.3|1058|2016-04-13T13:20:12|2016-05-12T18:18:09
2A|1059|36.985269|-97.83582|365.2|1059|2016-04-13T13:22:55|2016-05-12T18:14:09
2A|106|36.742216|-98.05583|343.1|106|2016-04-11T18:39:25|2016-05-10T15:46:08
2A|1060|36.985296|-97.830972|367.7|1060|2016-04-13T13:24:23|2016-05-12T18:11:49
2A|1061|36.985284|-97.827119|368.1|1061|2016-04-13T13:26:06|2016-05-12T18:09:17
2A|1062|36.985241|-97.817956|362.0|1062|2016-04-13T13:28:00|2016-05-12T18:05:54
2A|1063|36.985206|-97.813549|365.1|1063|2016-04-13T13:29:41|2016-05-12T18:03:16
2A|1064|36.985156|-97.808871|367.3|1064|2016-04-13T13:31:15|2016-05-12T18:00:31
2A|1065|36.985143|-97.799804|366.3|1065|2016-04-13T13:33:53|2016-05-12T17:38:14
2A|1066|36.985132|-97.795516|362.3|1066|2016-04-13T13:35:39|2016-05-12T17:33:45
2A|1067|36.98512|-97.791076|365.0|1067|2016-04-13T13:37:01|2016-05-12T17:30:14
2A|1068|36.985067|-97.781748|367.2|1068|2016-04-13T13:39:28|2016-05-12T17:25:54
2A|1069|36.985121|-97.777078|365.6|1069|2016-04-13T13:40:55|2016-05-12T16:58:26
2A|107|36.738465|-98.055873|344.4|107|2016-04-11T18:36:29|2016-05-10T15:42:34
2A|1070|36.985195|-97.772998|363.9|1070|2016-04-13T13:42:23|2016-05-12T16:54:27
2A|1071|36.985174|-97.763871|360.0|1071|2016-04-13T13:44:21|2016-05-12T16:49:35
2A|1072|36.985097|-97.759449|360.6|1072|2016-04-13T13:45:53|2016-05-12T16:47:16
2A|1073|36.985111|-97.754745|361.6|1073|2016-04-13T13:47:44|2016-05-12T16:44:00
2A|1074|36.970741|-97.885689|363.7|1074|2016-04-13T14:35:46|2016-05-13T15:42:10
2A|1075|36.970748|-97.881277|363.1|1075|2016-04-13T14:34:04|2016-05-13T15:38:43
2A|1076|36.970789|-97.872153|356.3|1076|2016-04-13T14:30:37|2016-05-13T15:33:55
2A|1077|36.970756|-97.867624|353.2|1077|2016-04-13T14:29:02|2016-05-13T15:31:50
2A|1078|36.97078|-97.863031|352.5|1078|2016-04-13T14:27:30|2016-05-13T15:29:20
2A|1079|36.970734|-97.853667|350.1|1079|2016-04-13T14:25:24|2016-05-13T15:25:12
2A|108|36.734998|-98.055819|339.6|108|2016-04-11T18:33:59|2016-05-10T15:39:17
2A|1080|36.970728|-97.849535|355.4|1080|2016-04-13T14:23:42|2016-05-13T15:22:32
2A|1081|36.970729|-97.845442|353.0|1081|2016-04-13T14:22:14|2016-05-13T15:19:52
2A|1082|36.970771|-97.83604|357.4|1082|2016-04-13T14:20:01|2016-05-13T15:16:35
2A|1083|36.970744|-97.830983|353.7|1083|2016-04-13T14:18:24|2016-05-13T15:14:17
2A|1084|36.970766|-97.827051|354.2|1084|2016-04-13T14:16:49|2016-05-13T15:12:14
2A|1085|36.970706|-97.81794|359.1|1085|2016-04-13T14:14:45|2016-05-13T15:09:23
2A|1086|36.970688|-97.813297|356.1|1086|2016-04-13T14:13:12|2016-05-13T15:06:44
2A|1087|36.970678|-97.808365|357.8|1087|2016-04-13T14:11:37|2016-05-13T15:04:28
2A|1088|36.970652|-97.79988|358.0|1088|2016-04-13T14:09:35|2016-05-13T15:01:00
2A|1089|36.970663|-97.795357|351.4|1089|2016-04-13T14:08:01|2016-05-13T14:58:02
2A|109|36.731299|-98.055701|336.4|109|2016-04-11T18:31:16|2016-05-10T15:35:31
2A|1090|36.970635|-97.790909|352.7|1090|2016-04-13T14:06:28|2016-05-13T14:55:26
2A|1091|36.970606|-97.782193|359.0|1091|2016-04-13T14:04:18|2016-05-13T14:52:29
2A|1092|36.970629|-97.777279|366.1|1092|2016-04-13T14:02:26|2016-05-13T14:49:56
2A|1093|36.970652|-97.772921|367.7|1093|2016-04-13T14:00:46|2016-05-13T14:47:14
2A|1094|36.970642|-97.764286|365.5|1094|2016-04-13T13:58:19|2016-05-13T14:43:28
2A|1095|36.97062|-97.760509|359.3|1095|2016-04-13T13:56:39|2016-05-13T14:40:14
2A|1096|36.97055|-97.755035|361.4|1096|2016-04-13T13:53:58|2016-05-13T14:37:15
2A|1097|36.956192|-97.903899|362.0|1097|2016-04-13T14:42:21|2016-05-13T15:48:40
2A|1098|36.956194|-97.89917|361.0|1098|2016-04-13T14:43:56|2016-05-13T15:51:34
2A|1099|36.956225|-97.890133|362.0|1099|2016-04-13T14:47:57|2016-05-13T15:54:44
2A|11|36.709634|-98.091954|339.9|11|2016-04-11T19:20:34|2016-05-11T15:40:42
2A|110|36.727682|-98.055729|327.3|110|2016-04-11T18:28:25|2016-05-10T15:30:52
2A|1100|36.95622|-97.885898|359.9|1100|2016-04-13T14:49:25|2016-05-13T15:57:34
2A|1101|36.956343|-97.881219|361.8|1101|2016-04-13T14:52:01|2016-05-13T16:00:02
2A|1102|36.956217|-97.87211|357.4|1102|2016-04-13T14:54:18|2016-05-13T16:03:25
2A|1103|36.956274|-97.86755|353.7|1103|2016-04-13T14:55:54|2016-05-13T16:06:17
2A|1104|36.956256|-97.863099|352.2|1104|2016-04-13T14:57:23|2016-05-13T16:08:51
2A|1105|36.956252|-97.835994|347.8|1105|2016-04-13T15:06:42|2016-05-13T16:18:36
2A|1106|36.956272|-97.831457|342.7|1106|2016-04-13T15:08:42|2016-05-13T16:21:47
2A|1107|36.956246|-97.826935|351.1|1107|2016-04-13T15:10:13|2016-05-13T16:24:18
2A|1108|36.956216|-97.817934|353.9|1108|2016-04-13T15:12:17|2016-05-13T16:27:26
2A|1109|36.956208|-97.813739|353.3|1109|2016-04-13T15:13:51|2016-05-13T16:29:54
2A|111|36.724021|-98.055676|326.2|111|2016-04-11T18:24:45|2016-05-10T15:24:40
2A|1110|36.956214|-97.808944|354.7|1110|2016-04-13T15:15:18|2016-05-13T16:33:11
2A|1111|36.956217|-97.799913|354.3|1111|2016-04-13T15:17:19|2016-05-13T16:36:46
2A|1112|36.956184|-97.795547|349.6|1112|2016-04-13T15:18:54|2016-05-13T16:39:09
2A|1113|36.956173|-97.790788|350.2|1113|2016-04-13T15:22:17|2016-05-13T16:41:23
2A|1114|36.956136|-97.781805|354.2|1114|2016-04-13T15:24:21|2016-05-13T16:44:39
2A|1115|36.956148|-97.777481|359.1|1115|2016-04-13T15:26:00|2016-05-13T16:47:17
2A|1116|36.956143|-97.772812|360.9|1116|2016-04-13T15:27:20|2016-05-13T16:49:52
2A|1117|36.95613|-97.763993|357.4|1117|2016-04-13T15:29:51|2016-05-13T16:52:55
2A|1118|36.956133|-97.75889|362.9|1118|2016-04-13T15:31:30|2016-05-13T16:55:25
2A|1119|36.956104|-97.754907|363.3|1119|2016-04-13T15:33:11|2016-05-13T16:57:53
2A|112|36.720477|-98.055781|327.3|112|2016-04-11T18:20:00|2016-05-10T15:20:22
2A|1120|36.941706|-97.921203|353.8|1120|2016-04-13T16:32:08|2016-05-13T18:50:30
2A|1121|36.94171|-97.916622|355.8|1121|2016-04-13T16:30:33|2016-05-13T18:48:30
2A|1122|36.941693|-97.907484|358.0|1122|2016-04-13T16:28:47|2016-05-13T18:45:05
2A|1123|36.941637|-97.903043|357.5|1123|2016-04-13T16:27:08|2016-05-13T18:42:34
2A|1124|36.94164|-97.898585|363.6|1124|2016-04-13T16:25:35|2016-05-13T18:40:16
2A|1125|36.941732|-97.889613|362.2|1125|2016-04-13T16:23:42|2016-05-13T18:37:11
2A|1126|36.94177|-97.885107|360.1|1126|2016-04-13T16:21:31|2016-05-13T18:34:44
2A|1127|36.941746|-97.88053|356.2|1127|2016-04-13T16:19:56|2016-05-13T18:24:37
2A|1128|36.941704|-97.871635|353.0|1128|2016-04-13T16:17:53|2016-05-13T18:20:43
2A|1129|36.941642|-97.867021|344.1|1129|2016-04-13T16:16:25|2016-05-13T18:18:21
2A|113|36.716829|-98.055767|325.0|113|2016-04-11T18:16:25|2016-05-10T15:15:59
2A|1130|36.941702|-97.862579|351.8|1130|2016-04-13T16:14:54|2016-05-13T18:15:20
2A|1131|36.9417|-97.852958|356.8|1131|2016-04-13T16:12:55|2016-05-13T18:10:48
2A|1132|36.941684|-97.848526|349.7|1132|2016-04-13T16:09:35|2016-05-13T18:08:04
2A|1133|36.941669|-97.844039|348.9|1133|2016-04-13T16:08:14|2016-05-13T18:02:00
2A|1134|36.941743|-97.835176|344.9|1134|2016-04-13T16:06:26|2016-05-13T17:58:05
2A|1135|36.941762|-97.830638|342.0|1135|2016-04-13T16:04:50|2016-05-13T17:54:52
2A|1136|36.941782|-97.826134|344.3|1136|2016-04-13T16:03:02|2016-05-13T17:52:24
2A|1137|36.941712|-97.817311|346.5|1137|2016-04-13T16:01:06|2016-05-13T17:49:17
2A|1138|36.941716|-97.812903|345.8|1138|2016-04-13T15:59:29|2016-05-13T17:46:48
2A|1139|36.941687|-97.808359|346.3|1139|2016-04-13T15:57:41|2016-05-13T17:44:07
2A|114|36.713188|-98.055719|325.2|114|2016-04-11T18:12:13|2016-05-10T15:10:25
2A|1140|36.941649|-97.798947|342.2|1140|2016-04-13T15:55:35|2016-05-13T17:41:15
2A|1141|36.941653|-97.794323|346.7|1141|2016-04-13T15:54:01|2016-05-13T17:39:02
2A|1142|36.941664|-97.789722|348.7|1142|2016-04-13T15:52:28|2016-05-13T17:36:55
2A|1143|36.941621|-97.780946|351.5|1143|2016-04-13T15:50:37|2016-05-13T17:34:11
2A|1144|36.941618|-97.776349|350.4|1144|2016-04-13T15:48:37|2016-05-13T17:30:10
2A|1145|36.941606|-97.771983|351.8|1145|2016-04-13T15:46:53|2016-05-13T17:28:08
